position,x,value
278.0,1658019533321,1.1969878673553467
279.0,1658019534258,1.3032314777374268
280.0,1658019535192,1.471144437789917
281.0,1658019536129,1.4229909181594849
282.0,1658019537066,1.3239511251449585
283.0,1658019538001,1.6808443069458008
284.0,1658019538939,1.3157851696014404
285.0,1658019539876,1.5934690237045288
286.0,1658019540811,1.33988618850708
287.0,1658019541747,1.1810832023620605
288.0,1658019542682,1.5335620641708374
289.0,1658019543616,1.336319923400879
290.0,1658019544551,1.6350876092910767
291.0,1658019545487,1.4269485473632812
292.0,1658019546423,1.4560149908065796
293.0,1658019547360,1.5282270908355713
294.0,1658019548296,1.6266486644744873
295.0,1658019549231,1.3116424083709717
296.0,1658019550166,1.386286973953247
297.0,1658019551110,1.4170372486114502
298.0,1658019552047,1.531919002532959
299.0,1658019552983,1.3017128705978394
300.0,1658019575901,1.5232346057891846
301.0,1658019576829,1.4239040613174438
302.0,1658019577756,1.3967852592468262
303.0,1658019578685,1.2612448930740356
304.0,1658019579615,1.5329972505569458
305.0,1658019580544,1.3526235818862915
306.0,1658019581476,1.5145195722579956
307.0,1658019582408,1.2399967908859253
308.0,1658019583354,1.681761622428894
309.0,1658019584297,1.3316510915756226
310.0,1658019585243,1.1207466125488281
311.0,1658019586181,1.6941031217575073
312.0,1658019587122,1.2786108255386353
313.0,1658019588077,1.4758907556533813
314.0,1658019589023,1.303959608078003
315.0,1658019589972,1.4016413688659668
316.0,1658019590917,1.3694136142730713
317.0,1658019591862,1.5452768802642822
318.0,1658019592807,1.3331401348114014
319.0,1658019593752,1.3728022575378418
320.0,1658019594698,1.545641541481018
321.0,1658019595641,1.45045804977417
322.0,1658019596579,1.1987265348434448
323.0,1658019597510,1.4481160640716553
324.0,1658019598444,1.2985248565673828
325.0,1658019599378,1.3843199014663696
326.0,1658019600311,1.2867265939712524
327.0,1658019601247,1.6557949781417847
328.0,1658019602186,1.3758113384246826
329.0,1658019603124,1.4324225187301636
330.0,1658019604060,1.4193322658538818
331.0,1658019604993,1.564954161643982
332.0,1658019605928,1.3216838836669922
333.0,1658019606865,1.4556596279144287
334.0,1658019607808,1.4490866661071777
335.0,1658019608740,1.4988752603530884
336.0,1658019609676,1.4929732084274292
337.0,1658019610611,1.5846240520477295
338.0,1658019611545,1.4129533767700195
339.0,1658019612484,1.4872684478759766
340.0,1658019613422,1.2802488803863525
341.0,1658019614356,1.389060378074646
342.0,1658019615297,1.277359127998352
343.0,1658019616234,1.3603911399841309
344.0,1658019617170,1.3848981857299805
345.0,1658019618105,1.4251461029052734
346.0,1658019619053,1.4016002416610718
347.0,1658019620001,1.277724027633667
348.0,1658019620945,1.4841700792312622
349.0,1658019621892,1.4639133214950562
350.0,1658019643097,1.358241081237793
351.0,1658019644029,1.411400556564331
352.0,1658019644963,1.4339463710784912
353.0,1658019645896,1.422100305557251
354.0,1658019646825,1.4420748949050903
355.0,1658019647756,1.2050234079360962
356.0,1658019648684,1.570611596107483
357.0,1658019649618,1.4754364490509033
358.0,1658019650549,1.3273991346359253
359.0,1658019651482,1.4036846160888672
360.0,1658019652416,1.4732216596603394
361.0,1658019653348,1.3806300163269043
362.0,1658019654280,1.4838119745254517
363.0,1658019655217,1.4588850736618042
364.0,1658019656149,1.5332938432693481
365.0,1658019657088,1.2884995937347412
366.0,1658019658034,1.289139986038208
367.0,1658019658972,1.1599491834640503
368.0,1658019659910,1.445241928100586
369.0,1658019660843,1.3457366228103638
